title,track_id,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
A Girl Like You,3AsNVBJ7LHsltdu9490ZiS,Easton Corbin,0.735,0.768,5,-4.481,1,0.0353,0.0197,0.0,0.0643,0.83,104.991,audio_features,spotify:track:3AsNVBJ7LHsltdu9490ZiS,https://api.spotify.com/v1/tracks/3AsNVBJ7LHsltdu9490ZiS,https://api.spotify.com/v1/audio-analysis/3AsNVBJ7LHsltdu9490ZiS,217840,4
Something More,3C3oknuBLo3jxhmRk67glu,Sugarland,0.613,0.857,4,-4.46,1,0.0545,0.29,0.0,0.113,0.349,102.261,audio_features,spotify:track:3C3oknuBLo3jxhmRk67glu,https://api.spotify.com/v1/tracks/3C3oknuBLo3jxhmRk67glu,https://api.spotify.com/v1/audio-analysis/3C3oknuBLo3jxhmRk67glu,216733,4
Look at You,36vHC0fHnFd1m7bLKJP8mD,Big & Rich,0.503,0.819,11,-4.917,1,0.0502,0.0732,0.0,0.0974,0.74,164.086,audio_features,spotify:track:36vHC0fHnFd1m7bLKJP8mD,https://api.spotify.com/v1/tracks/36vHC0fHnFd1m7bLKJP8mD,https://api.spotify.com/v1/audio-analysis/36vHC0fHnFd1m7bLKJP8mD,222707,4
Rival,6cVFyXSMC9OFCcydD0Yld4,LANCO,0.482,0.892,7,-3.634,1,0.0355,0.0021,9.43e-06,0.728,0.734,82.03,audio_features,spotify:track:6cVFyXSMC9OFCcydD0Yld4,https://api.spotify.com/v1/tracks/6cVFyXSMC9OFCcydD0Yld4,https://api.spotify.com/v1/audio-analysis/6cVFyXSMC9OFCcydD0Yld4,184618,4
GIRL,0u3zalSKQIUJ0foEGILmxe,Maren Morris,0.44,0.793,6,-3.95,1,0.0502,0.0677,0.0,0.0788,0.447,143.599,audio_features,spotify:track:0u3zalSKQIUJ0foEGILmxe,https://api.spotify.com/v1/tracks/0u3zalSKQIUJ0foEGILmxe,https://api.spotify.com/v1/audio-analysis/0u3zalSKQIUJ0foEGILmxe,250664,4
Slow Down,2OsEJFTfzfjG4oC92cuP2c,Selena Gomez,0.722,0.821,1,-3.856,0,0.165,0.073,0.0,0.631,0.721,127.944,audio_features,spotify:track:2OsEJFTfzfjG4oC92cuP2c,https://api.spotify.com/v1/tracks/2OsEJFTfzfjG4oC92cuP2c,https://api.spotify.com/v1/audio-analysis/2OsEJFTfzfjG4oC92cuP2c,210293,4
Ready To Let Go,2QoDAlMnML5haTXvYRS86X,Cage The Elephant,0.72,0.893,1,-3.279,1,0.0376,0.0109,2.52e-05,0.0729,0.795,100.96,audio_features,spotify:track:2QoDAlMnML5haTXvYRS86X,https://api.spotify.com/v1/tracks/2QoDAlMnML5haTXvYRS86X,https://api.spotify.com/v1/audio-analysis/2QoDAlMnML5haTXvYRS86X,187973,4
Trouble,5n0CTysih20NYdT2S0Wpe8,Cage The Elephant,0.47,0.623,0,-5.655,1,0.0302,0.392,0.000439,0.0992,0.298,77.861,audio_features,spotify:track:5n0CTysih20NYdT2S0Wpe8,https://api.spotify.com/v1/tracks/5n0CTysih20NYdT2S0Wpe8,https://api.spotify.com/v1/audio-analysis/5n0CTysih20NYdT2S0Wpe8,225973,4
Superhero,2b5wWbvt1IPBEMczBPtuB1,Falling In Reverse,0.35,0.971,1,-2.842,0,0.0821,0.000424,0.0,0.216,0.513,173.023,audio_features,spotify:track:2b5wWbvt1IPBEMczBPtuB1,https://api.spotify.com/v1/tracks/2b5wWbvt1IPBEMczBPtuB1,https://api.spotify.com/v1/audio-analysis/2b5wWbvt1IPBEMczBPtuB1,193447,4
Long Live The Night,0tCsWWCdQFpDmCsTrnZO69,The Reklaws,0.55,0.795,7,-5.588,1,0.0354,0.00482,0.0,0.141,0.4,127.003,audio_features,spotify:track:0tCsWWCdQFpDmCsTrnZO69,https://api.spotify.com/v1/tracks/0tCsWWCdQFpDmCsTrnZO69,https://api.spotify.com/v1/audio-analysis/0tCsWWCdQFpDmCsTrnZO69,206013,4
21 Guns,64yrDBpcdwEdNY9loyEGbX,Green Day,0.268,0.742,5,-4.939,1,0.0355,0.0518,0.0,0.626,0.416,159.779,audio_features,spotify:track:64yrDBpcdwEdNY9loyEGbX,https://api.spotify.com/v1/tracks/64yrDBpcdwEdNY9loyEGbX,https://api.spotify.com/v1/audio-analysis/64yrDBpcdwEdNY9loyEGbX,321093,4
Misery Business,6SpLc7EXZIPpy0sVko0aoU,Paramore,0.517,0.906,1,-3.677,1,0.0735,0.00272,9.26e-06,0.113,0.731,172.977,audio_features,spotify:track:6SpLc7EXZIPpy0sVko0aoU,https://api.spotify.com/v1/tracks/6SpLc7EXZIPpy0sVko0aoU,https://api.spotify.com/v1/audio-analysis/6SpLc7EXZIPpy0sVko0aoU,211520,4
You Found Me,4IoYz8XqqdowINzfRrFnhi,The Fray,0.338,0.803,8,-5.412,0,0.0413,0.0187,0.0,0.136,0.4,151.994,audio_features,spotify:track:4IoYz8XqqdowINzfRrFnhi,https://api.spotify.com/v1/tracks/4IoYz8XqqdowINzfRrFnhi,https://api.spotify.com/v1/audio-analysis/4IoYz8XqqdowINzfRrFnhi,241853,4
I Write Sins Not Tragedies,4948g5UqwZFLGI8UTOXqdi,Panic! At The Disco,0.566,0.815,9,-4.481,0,0.14,0.0737,0.0,0.12,0.672,169.961,audio_features,spotify:track:4948g5UqwZFLGI8UTOXqdi,https://api.spotify.com/v1/tracks/4948g5UqwZFLGI8UTOXqdi,https://api.spotify.com/v1/audio-analysis/4948g5UqwZFLGI8UTOXqdi,185587,4
Single Man,4AVIrXOMovFZ5AUEbe8Vpj,High Valley,0.594,0.966,0,-4.627,1,0.0601,0.083,0.0,0.0829,0.637,124.032,audio_features,spotify:track:4AVIrXOMovFZ5AUEbe8Vpj,https://api.spotify.com/v1/tracks/4AVIrXOMovFZ5AUEbe8Vpj,https://api.spotify.com/v1/audio-analysis/4AVIrXOMovFZ5AUEbe8Vpj,206587,4
