title,track_id,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
A Guy with a Girl,5sjIhQzNljMVrDklI91ezp,Blake Shelton,0.552,0.893,0,-4.593,1,0.0383,0.0158,0.0,0.105,0.777,163.948,audio_features,spotify:track:5sjIhQzNljMVrDklI91ezp,https://api.spotify.com/v1/tracks/5sjIhQzNljMVrDklI91ezp,https://api.spotify.com/v1/audio-analysis/5sjIhQzNljMVrDklI91ezp,189467,4
Zombie,2IZZqH4K02UIYg5EohpNHF,The Cranberries,0.307,0.635,7,-8.957,1,0.0339,0.0154,0.00483,0.366,0.304,166.973,audio_features,spotify:track:2IZZqH4K02UIYg5EohpNHF,https://api.spotify.com/v1/tracks/2IZZqH4K02UIYg5EohpNHF,https://api.spotify.com/v1/audio-analysis/2IZZqH4K02UIYg5EohpNHF,306427,4
When I Come Around,1Dr1fXbc2IxaK1Mu8P8Khz,Green Day,0.531,0.909,11,-4.236,1,0.034,0.0175,0.0,0.231,0.814,97.546,audio_features,spotify:track:1Dr1fXbc2IxaK1Mu8P8Khz,https://api.spotify.com/v1/tracks/1Dr1fXbc2IxaK1Mu8P8Khz,https://api.spotify.com/v1/audio-analysis/1Dr1fXbc2IxaK1Mu8P8Khz,178000,4
My Own Worst Enemy,33iv3wnGMrrDugd7GBso1z,Lit,0.494,0.946,4,-2.757,1,0.0637,0.00129,0.0,0.398,0.741,103.408,audio_features,spotify:track:33iv3wnGMrrDugd7GBso1z,https://api.spotify.com/v1/tracks/33iv3wnGMrrDugd7GBso1z,https://api.spotify.com/v1/audio-analysis/33iv3wnGMrrDugd7GBso1z,169027,4
Dani California,10Nmj3JCNoMeBQ87uw5j8k,Red Hot Chili Peppers,0.556,0.913,0,-2.36,1,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,audio_features,spotify:track:10Nmj3JCNoMeBQ87uw5j8k,https://api.spotify.com/v1/tracks/10Nmj3JCNoMeBQ87uw5j8k,https://api.spotify.com/v1/audio-analysis/10Nmj3JCNoMeBQ87uw5j8k,282160,4
The Pretender,7x8dCjCr0x6x2lXKujYD34,Foo Fighters,0.433,0.959,9,-4.04,1,0.0431,0.000917,0.0,0.028,0.365,172.984,audio_features,spotify:track:7x8dCjCr0x6x2lXKujYD34,https://api.spotify.com/v1/tracks/7x8dCjCr0x6x2lXKujYD34,https://api.spotify.com/v1/audio-analysis/7x8dCjCr0x6x2lXKujYD34,269373,4
"You're Gonna Go Far, Kid",6TfBA04WJ3X1d1wXhaCFVT,The Offspring,0.55,0.917,0,-3.159,1,0.0638,0.00428,0.0,0.197,0.601,126.115,audio_features,spotify:track:6TfBA04WJ3X1d1wXhaCFVT,https://api.spotify.com/v1/tracks/6TfBA04WJ3X1d1wXhaCFVT,https://api.spotify.com/v1/audio-analysis/6TfBA04WJ3X1d1wXhaCFVT,177827,4
New Divide,6Wx88Mv6b9ofjKMKkdwOJd,Linkin Park,0.493,0.808,5,-3.365,0,0.0362,0.000235,0.0,0.0983,0.38,117.971,audio_features,spotify:track:6Wx88Mv6b9ofjKMKkdwOJd,https://api.spotify.com/v1/tracks/6Wx88Mv6b9ofjKMKkdwOJd,https://api.spotify.com/v1/audio-analysis/6Wx88Mv6b9ofjKMKkdwOJd,268613,4
Stolen Dance,6vECYJHxYmm3Ydt3fF01pE,Milky Chance,0.885,0.581,11,-8.813,1,0.0378,0.427,0.000204,0.0759,0.728,114.016,audio_features,spotify:track:6vECYJHxYmm3Ydt3fF01pE,https://api.spotify.com/v1/tracks/6vECYJHxYmm3Ydt3fF01pE,https://api.spotify.com/v1/audio-analysis/6vECYJHxYmm3Ydt3fF01pE,313684,4
Happier,1s1ud3HBY8GG9eMbQ780Xm,Franklin James,0.646,0.749,5,-3.701,1,0.0309,0.0682,0.0,0.0918,0.532,100.005,audio_features,spotify:track:1s1ud3HBY8GG9eMbQ780Xm,https://api.spotify.com/v1/tracks/1s1ud3HBY8GG9eMbQ780Xm,https://api.spotify.com/v1/audio-analysis/1s1ud3HBY8GG9eMbQ780Xm,221048,4
Take It From Me,3dCZm5HrG0jIXAHfNkg2H0,Jordan Davis,0.592,0.891,10,-3.144,1,0.0512,0.0267,0.0,0.352,0.674,99.983,audio_features,spotify:track:3dCZm5HrG0jIXAHfNkg2H0,https://api.spotify.com/v1/tracks/3dCZm5HrG0jIXAHfNkg2H0,https://api.spotify.com/v1/audio-analysis/3dCZm5HrG0jIXAHfNkg2H0,174255,4
Speechless,7q7jyVU0f0hnod8tsaUmxg,Dan + Shay,0.631,0.44,1,-5.948,1,0.028,0.328,0.0,0.239,0.418,136.033,audio_features,spotify:track:7q7jyVU0f0hnod8tsaUmxg,https://api.spotify.com/v1/tracks/7q7jyVU0f0hnod8tsaUmxg,https://api.spotify.com/v1/audio-analysis/7q7jyVU0f0hnod8tsaUmxg,212745,4
Habits (Stay High),14OxJlLdcHNpgsm4DRwDOB,Tove Lo,0.729,0.65,5,-3.539,1,0.0313,0.0702,6.69e-05,0.0829,0.347,110.02,audio_features,spotify:track:14OxJlLdcHNpgsm4DRwDOB,https://api.spotify.com/v1/tracks/14OxJlLdcHNpgsm4DRwDOB,https://api.spotify.com/v1/audio-analysis/14OxJlLdcHNpgsm4DRwDOB,209160,4
Underestimated,340ywvkRdlPLsS4hqJG5RM,Maestro Fresh Wes,0.708,0.846,0,-4.88,1,0.127,0.518,0.0,0.378,0.584,95.037,audio_features,spotify:track:340ywvkRdlPLsS4hqJG5RM,https://api.spotify.com/v1/tracks/340ywvkRdlPLsS4hqJG5RM,https://api.spotify.com/v1/audio-analysis/340ywvkRdlPLsS4hqJG5RM,209235,4
Somebody's Daughter,7GW2dqJ13S3UutqzSuvzlR,Tenille Townes,0.479,0.859,0,-5.208,1,0.0395,0.00206,0.0,0.123,0.537,173.924,audio_features,spotify:track:7GW2dqJ13S3UutqzSuvzlR,https://api.spotify.com/v1/tracks/7GW2dqJ13S3UutqzSuvzlR,https://api.spotify.com/v1/audio-analysis/7GW2dqJ13S3UutqzSuvzlR,226667,4
Keep It Simple,6SzCgkimMZ97h2GluSWSzd,James Barker Band,0.673,0.827,7,-3.162,0,0.0389,0.00661,0.0,0.18,0.947,126.073,audio_features,spotify:track:6SzCgkimMZ97h2GluSWSzd,https://api.spotify.com/v1/tracks/6SzCgkimMZ97h2GluSWSzd,https://api.spotify.com/v1/audio-analysis/6SzCgkimMZ97h2GluSWSzd,187453,4
Are You Ready,4zvqMZ6g4wKZaPpOQvoBpP,Disturbed,0.392,0.976,7,-2.189,1,0.107,0.000107,0.0,0.271,0.521,199.888,audio_features,spotify:track:4zvqMZ6g4wKZaPpOQvoBpP,https://api.spotify.com/v1/tracks/4zvqMZ6g4wKZaPpOQvoBpP,https://api.spotify.com/v1/audio-analysis/4zvqMZ6g4wKZaPpOQvoBpP,261680,4
Money,2T8KA7mD6VFZ45QGfLceos,I Fight Dragons,0.623,0.841,2,-8.242,1,0.0406,0.0667,0.0651,0.796,0.469,124.976,audio_features,spotify:track:2T8KA7mD6VFZ45QGfLceos,https://api.spotify.com/v1/tracks/2T8KA7mD6VFZ45QGfLceos,https://api.spotify.com/v1/audio-analysis/2T8KA7mD6VFZ45QGfLceos,201693,4
Hey Brother,4RXpgGM7A4Hg7cFBoH5KyF,Avicii,0.545,0.78,7,-4.867,0,0.0436,0.0309,4.64e-05,0.0828,0.458,125.014,audio_features,spotify:track:4RXpgGM7A4Hg7cFBoH5KyF,https://api.spotify.com/v1/tracks/4RXpgGM7A4Hg7cFBoH5KyF,https://api.spotify.com/v1/audio-analysis/4RXpgGM7A4Hg7cFBoH5KyF,255093,4
Te Robaré,6v0lAdFF4haL8xjBIUjtOw,Nicky Jam,0.673,0.752,2,-3.572,0,0.0561,0.241,4.51e-05,0.0813,0.797,175.997,audio_features,spotify:track:6v0lAdFF4haL8xjBIUjtOw,https://api.spotify.com/v1/tracks/6v0lAdFF4haL8xjBIUjtOw,https://api.spotify.com/v1/audio-analysis/6v0lAdFF4haL8xjBIUjtOw,201818,4
Live Your Life,3jlbL2OTD5YmIunYzgQTAN,T.I.,0.375,0.862,11,-3.363,0,0.255,0.071,0.0,0.211,0.478,159.841,audio_features,spotify:track:3jlbL2OTD5YmIunYzgQTAN,https://api.spotify.com/v1/tracks/3jlbL2OTD5YmIunYzgQTAN,https://api.spotify.com/v1/audio-analysis/3jlbL2OTD5YmIunYzgQTAN,338853,4
Make Me Want To,2uJwGoHVPStmWV7iTKEhcn,Jimmie Allen,0.519,0.872,2,-3.212,1,0.0616,0.0793,0.0,0.111,0.74,179.965,audio_features,spotify:track:2uJwGoHVPStmWV7iTKEhcn,https://api.spotify.com/v1/tracks/2uJwGoHVPStmWV7iTKEhcn,https://api.spotify.com/v1/audio-analysis/2uJwGoHVPStmWV7iTKEhcn,172280,4
Someone I Used To Know,1SVqPKwkGssw1ao0Jqmx2b,Zac Brown Band,0.621,0.746,6,-5.69,0,0.03,0.000927,0.00108,0.102,0.334,107.953,audio_features,spotify:track:1SVqPKwkGssw1ao0Jqmx2b,https://api.spotify.com/v1/tracks/1SVqPKwkGssw1ao0Jqmx2b,https://api.spotify.com/v1/audio-analysis/1SVqPKwkGssw1ao0Jqmx2b,209264,4
Love Ain't,6lUNNXp7M8boA7gUEd6PSm,Eli Young Band,0.6,0.851,11,-4.645,1,0.0388,0.00566,9.78e-06,0.0891,0.727,98.007,audio_features,spotify:track:6lUNNXp7M8boA7gUEd6PSm,https://api.spotify.com/v1/tracks/6lUNNXp7M8boA7gUEd6PSm,https://api.spotify.com/v1/audio-analysis/6lUNNXp7M8boA7gUEd6PSm,186600,4
Up Down (feat. Florida Georgia Line),3EWMoDIm6lzuR0zQKtuCJX,Morgan Wallen,0.589,0.882,6,-3.039,1,0.035,0.0813,0.0,0.146,0.793,129.915,audio_features,spotify:track:3EWMoDIm6lzuR0zQKtuCJX,https://api.spotify.com/v1/tracks/3EWMoDIm6lzuR0zQKtuCJX,https://api.spotify.com/v1/audio-analysis/3EWMoDIm6lzuR0zQKtuCJX,197253,4
I Don't Know About You,3yOs8FffuG6hPbzQG9lIqV,Chris Lane,0.593,0.81,1,-5.733,1,0.0625,0.602,0.0,0.119,0.712,144.011,audio_features,spotify:track:3yOs8FffuG6hPbzQG9lIqV,https://api.spotify.com/v1/tracks/3yOs8FffuG6hPbzQG9lIqV,https://api.spotify.com/v1/audio-analysis/3yOs8FffuG6hPbzQG9lIqV,207933,4
Alcohol You Later,16HAr3eu7TCbeJ0IOJLQxY,Mitchell Tenpenny,0.668,0.595,8,-6.977,1,0.0373,0.0252,0.0,0.0978,0.459,99.973,audio_features,spotify:track:16HAr3eu7TCbeJ0IOJLQxY,https://api.spotify.com/v1/tracks/16HAr3eu7TCbeJ0IOJLQxY,https://api.spotify.com/v1/audio-analysis/16HAr3eu7TCbeJ0IOJLQxY,187369,4
God's Country,1dyxS3YzBbL0t8rEVwVQ1K,Blake Shelton,0.538,0.752,10,-5.106,1,0.0396,0.0608,5.39e-06,0.118,0.217,139.984,audio_features,spotify:track:1dyxS3YzBbL0t8rEVwVQ1K,https://api.spotify.com/v1/tracks/1dyxS3YzBbL0t8rEVwVQ1K,https://api.spotify.com/v1/audio-analysis/1dyxS3YzBbL0t8rEVwVQ1K,205107,4
What Makes You Country,3bDXhWsPiFTHtrsMg5faL2,Luke Bryan,0.515,0.948,0,-1.721,1,0.0438,0.0106,0.0,0.134,0.752,159.983,audio_features,spotify:track:3bDXhWsPiFTHtrsMg5faL2,https://api.spotify.com/v1/tracks/3bDXhWsPiFTHtrsMg5faL2,https://api.spotify.com/v1/audio-analysis/3bDXhWsPiFTHtrsMg5faL2,235266,4
All On You,6wmX0tZ4Dkzg32z1k9x4Y5,Mitchell Tenpenny,0.582,0.737,6,-4.056,1,0.0364,0.0636,0.0,0.101,0.72,168.125,audio_features,spotify:track:6wmX0tZ4Dkzg32z1k9x4Y5,https://api.spotify.com/v1/tracks/6wmX0tZ4Dkzg32z1k9x4Y5,https://api.spotify.com/v1/audio-analysis/6wmX0tZ4Dkzg32z1k9x4Y5,190027,4
Time,1erkpeCIHquUEeyzbhMiDm,Dean Brody,0.498,0.548,8,-7.028,1,0.0315,0.533,0.0,0.0774,0.365,88.898,audio_features,spotify:track:1erkpeCIHquUEeyzbhMiDm,https://api.spotify.com/v1/tracks/1erkpeCIHquUEeyzbhMiDm,https://api.spotify.com/v1/audio-analysis/1erkpeCIHquUEeyzbhMiDm,247400,4
Living,54K7AZoGpQklpygKrxZlKN,Dierks Bentley,0.517,0.813,1,-6.325,1,0.0558,0.0153,0.0,0.106,0.444,83.005,audio_features,spotify:track:54K7AZoGpQklpygKrxZlKN,https://api.spotify.com/v1/tracks/54K7AZoGpQklpygKrxZlKN,https://api.spotify.com/v1/audio-analysis/54K7AZoGpQklpygKrxZlKN,222147,4
One Man Band,3ksmU0DaEUMEVzx5V6cc3z,Old Dominion,0.705,0.363,6,-8.327,1,0.0355,0.667,0.0,0.112,0.482,75.98,audio_features,spotify:track:3ksmU0DaEUMEVzx5V6cc3z,https://api.spotify.com/v1/tracks/3ksmU0DaEUMEVzx5V6cc3z,https://api.spotify.com/v1/audio-analysis/3ksmU0DaEUMEVzx5V6cc3z,186520,4
Somethin' I'm Good At,6zDx6Xf99MZPziRZH2iddZ,Brett Eldredge,0.562,0.94,5,-4.337,1,0.114,0.0494,0.0,0.217,0.456,103.009,audio_features,spotify:track:6zDx6Xf99MZPziRZH2iddZ,https://api.spotify.com/v1/tracks/6zDx6Xf99MZPziRZH2iddZ,https://api.spotify.com/v1/audio-analysis/6zDx6Xf99MZPziRZH2iddZ,217280,4
Getting Over You,4oeGQb7zAVNRkpjjoNHK5K,Jackie Lee,0.442,0.784,2,-4.001,1,0.0344,0.0527,0.0,0.0597,0.552,170.139,audio_features,spotify:track:4oeGQb7zAVNRkpjjoNHK5K,https://api.spotify.com/v1/tracks/4oeGQb7zAVNRkpjjoNHK5K,https://api.spotify.com/v1/audio-analysis/4oeGQb7zAVNRkpjjoNHK5K,173187,4
Yours If You Want It,4D4xJ4LyDXBWIf9thFSMAJ,Rascal Flatts,0.554,0.903,8,-3.152,1,0.0515,0.0103,0.0,0.107,0.419,112.998,audio_features,spotify:track:4D4xJ4LyDXBWIf9thFSMAJ,https://api.spotify.com/v1/tracks/4D4xJ4LyDXBWIf9thFSMAJ,https://api.spotify.com/v1/audio-analysis/4D4xJ4LyDXBWIf9thFSMAJ,206827,4
Take Back Home Girl (Feat. Tori Kelly),2gVBXeTjwL0ZEh9gjsQjk0,Chris Lane,0.494,0.78,11,-3.825,1,0.064,0.368,0.0,0.0921,0.664,159.708,audio_features,spotify:track:2gVBXeTjwL0ZEh9gjsQjk0,https://api.spotify.com/v1/tracks/2gVBXeTjwL0ZEh9gjsQjk0,https://api.spotify.com/v1/audio-analysis/2gVBXeTjwL0ZEh9gjsQjk0,211427,4
Losing Sleep,5Feu0AyHLrW0mCRAyUnZ6W,Chris Young,0.587,0.628,1,-5.703,1,0.0431,0.0677,1.88e-06,0.122,0.649,92.003,audio_features,spotify:track:5Feu0AyHLrW0mCRAyUnZ6W,https://api.spotify.com/v1/tracks/5Feu0AyHLrW0mCRAyUnZ6W,https://api.spotify.com/v1/audio-analysis/5Feu0AyHLrW0mCRAyUnZ6W,180252,4
Where's My Love,6H9Bc39zoXOUhzl5QJb3KQ,SYML,0.597,0.346,0,-11.023,0,0.025,0.857,0.0189,0.123,0.428,103.985,audio_features,spotify:track:6H9Bc39zoXOUhzl5QJb3KQ,https://api.spotify.com/v1/tracks/6H9Bc39zoXOUhzl5QJb3KQ,https://api.spotify.com/v1/audio-analysis/6H9Bc39zoXOUhzl5QJb3KQ,202107,4
"John Cougar, John Deere, John 3:16",72f7jNxopSGvbx3M35i3Zl,Keith Urban,0.694,0.779,0,-6.984,1,0.071,0.0688,3.99e-06,0.0803,0.594,84.975,audio_features,spotify:track:72f7jNxopSGvbx3M35i3Zl,https://api.spotify.com/v1/tracks/72f7jNxopSGvbx3M35i3Zl,https://api.spotify.com/v1/audio-analysis/72f7jNxopSGvbx3M35i3Zl,221600,4
I Found A Way,1rS3J4u1G8f6hbmTosa8Nf,Drake Bell,0.531,0.766,8,-7.692,1,0.0582,0.0056,0.0,0.201,0.532,130.048,audio_features,spotify:track:1rS3J4u1G8f6hbmTosa8Nf,https://api.spotify.com/v1/tracks/1rS3J4u1G8f6hbmTosa8Nf,https://api.spotify.com/v1/audio-analysis/1rS3J4u1G8f6hbmTosa8Nf,179493,4
Little Toy Guns,4lnnde7PnrXR3pUzQKBe6X,Carrie Underwood,0.434,0.868,7,-1.208,1,0.0603,0.00407,1.98e-06,0.0919,0.204,161.886,audio_features,spotify:track:4lnnde7PnrXR3pUzQKBe6X,https://api.spotify.com/v1/tracks/4lnnde7PnrXR3pUzQKBe6X,https://api.spotify.com/v1/audio-analysis/4lnnde7PnrXR3pUzQKBe6X,210760,4
Love Someone,43CFDpciGFDm226POTLEXU,Brett Eldredge,0.423,0.813,9,-5.011,1,0.0507,0.218,1.62e-06,0.0732,0.421,173.995,audio_features,spotify:track:43CFDpciGFDm226POTLEXU,https://api.spotify.com/v1/tracks/43CFDpciGFDm226POTLEXU,https://api.spotify.com/v1/audio-analysis/43CFDpciGFDm226POTLEXU,211720,4
Trippin' (feat. Khalid),0cMjaVjMi6VPn1mkWPGKka,Buddy,0.663,0.555,1,-6.683,1,0.061,0.0142,0.00601,0.423,0.188,134.049,audio_features,spotify:track:0cMjaVjMi6VPn1mkWPGKka,https://api.spotify.com/v1/tracks/0cMjaVjMi6VPn1mkWPGKka,https://api.spotify.com/v1/audio-analysis/0cMjaVjMi6VPn1mkWPGKka,184720,4
Every Little Thing,5WSGkeDfs8mza3YmTBTTdI,Carly Pearce,0.631,0.406,0,-7.623,1,0.0396,0.448,1.45e-05,0.105,0.343,139.907,audio_features,spotify:track:5WSGkeDfs8mza3YmTBTTdI,https://api.spotify.com/v1/tracks/5WSGkeDfs8mza3YmTBTTdI,https://api.spotify.com/v1/audio-analysis/5WSGkeDfs8mza3YmTBTTdI,179798,4
Better Man,0jMikeoKkkSOby4ofddqYs,Little Big Town,0.521,0.77,5,-4.266,1,0.0374,0.108,1.58e-05,0.231,0.468,143.948,audio_features,spotify:track:0jMikeoKkkSOby4ofddqYs,https://api.spotify.com/v1/tracks/0jMikeoKkkSOby4ofddqYs,https://api.spotify.com/v1/audio-analysis/0jMikeoKkkSOby4ofddqYs,260933,4
Small Town Boy,045SnNDjOfOLKM5OxARH4g,Dustin Lynch,0.553,0.747,9,-5.905,1,0.0292,0.0244,0.0,0.363,0.711,73.033,audio_features,spotify:track:045SnNDjOfOLKM5OxARH4g,https://api.spotify.com/v1/tracks/045SnNDjOfOLKM5OxARH4g,https://api.spotify.com/v1/audio-analysis/045SnNDjOfOLKM5OxARH4g,206573,4
Somethin' I'm Good At,6DRsEO5yuEGBF87qpyMB4d,Brett Eldredge,0.574,0.937,5,-4.34,1,0.112,0.0453,0.0,0.242,0.446,103.006,audio_features,spotify:track:6DRsEO5yuEGBF87qpyMB4d,https://api.spotify.com/v1/tracks/6DRsEO5yuEGBF87qpyMB4d,https://api.spotify.com/v1/audio-analysis/6DRsEO5yuEGBF87qpyMB4d,217333,4
