danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,track_id,uri,track_href,analysis_url,duration_ms,time_signature
0.484,0.841,11,-5.761,1,0.0446,0.0453,0.0137,0.353,0.716,174.019,audio_features,2sVkHiBqHxyj8rFGu42zv2,spotify:track:2sVkHiBqHxyj8rFGu42zv2,https://api.spotify.com/v1/tracks/2sVkHiBqHxyj8rFGu42zv2,https://api.spotify.com/v1/audio-analysis/2sVkHiBqHxyj8rFGu42zv2,236625,4
0.539,0.892,8,-4.59,1,0.0411,0.0725,0.0,0.0997,0.34,104.009,audio_features,3eGH1kOyOjq19khdfYg5R7,spotify:track:3eGH1kOyOjq19khdfYg5R7,https://api.spotify.com/v1/tracks/3eGH1kOyOjq19khdfYg5R7,https://api.spotify.com/v1/audio-analysis/3eGH1kOyOjq19khdfYg5R7,200640,4
0.622,0.827,7,-5.736,1,0.0478,0.0717,0.0,0.0764,0.299,100.002,audio_features,5BIwPoVMFnFIr8RzJunRvf,spotify:track:5BIwPoVMFnFIr8RzJunRvf,https://api.spotify.com/v1/tracks/5BIwPoVMFnFIr8RzJunRvf,https://api.spotify.com/v1/audio-analysis/5BIwPoVMFnFIr8RzJunRvf,233813,4
0.625,0.825,7,-5.758,1,0.0481,0.0621,0.0,0.0753,0.341,100.004,audio_features,13wYXGimJ5fANFu0y2pqG1,spotify:track:13wYXGimJ5fANFu0y2pqG1,https://api.spotify.com/v1/tracks/13wYXGimJ5fANFu0y2pqG1,https://api.spotify.com/v1/audio-analysis/13wYXGimJ5fANFu0y2pqG1,233827,4
0.488,0.744,2,-4.284,0,0.131,0.0353,0.0,0.0952,0.59,180.007,audio_features,3n2A6l4UayVe3GGKCvfQWV,spotify:track:3n2A6l4UayVe3GGKCvfQWV,https://api.spotify.com/v1/tracks/3n2A6l4UayVe3GGKCvfQWV,https://api.spotify.com/v1/audio-analysis/3n2A6l4UayVe3GGKCvfQWV,165173,4
0.596,0.834,9,-4.308,1,0.0474,0.0563,0.0,0.0866,0.618,116.0,audio_features,0w3Q14i073jLoew1hgJkwD,spotify:track:0w3Q14i073jLoew1hgJkwD,https://api.spotify.com/v1/tracks/0w3Q14i073jLoew1hgJkwD,https://api.spotify.com/v1/audio-analysis/0w3Q14i073jLoew1hgJkwD,205200,4
0.434,0.921,10,-2.248,0,0.0688,0.0207,0.00209,0.116,0.426,171.945,audio_features,3bzE57iNavJJxXL9GgBiOK,spotify:track:3bzE57iNavJJxXL9GgBiOK,https://api.spotify.com/v1/tracks/3bzE57iNavJJxXL9GgBiOK,https://api.spotify.com/v1/audio-analysis/3bzE57iNavJJxXL9GgBiOK,195307,4
0.623,0.59,4,-5.014,1,0.028,0.646,0.0,0.295,0.579,137.071,audio_features,4KAzYqfcijCSZa2P3etHoM,spotify:track:4KAzYqfcijCSZa2P3etHoM,https://api.spotify.com/v1/tracks/4KAzYqfcijCSZa2P3etHoM,https://api.spotify.com/v1/audio-analysis/4KAzYqfcijCSZa2P3etHoM,204200,4
0.613,0.839,9,-3.799,0,0.0352,0.000854,0.0,0.341,0.526,104.975,audio_features,2d48mamATjby7wgPjdrSOQ,spotify:track:2d48mamATjby7wgPjdrSOQ,https://api.spotify.com/v1/tracks/2d48mamATjby7wgPjdrSOQ,https://api.spotify.com/v1/audio-analysis/2d48mamATjby7wgPjdrSOQ,223627,4
0.695,0.641,7,-5.807,1,0.0261,0.142,0.0,0.131,0.664,101.974,audio_features,63OQWdXMq0Pe6pRpWY5gO0,spotify:track:63OQWdXMq0Pe6pRpWY5gO0,https://api.spotify.com/v1/tracks/63OQWdXMq0Pe6pRpWY5gO0,https://api.spotify.com/v1/audio-analysis/63OQWdXMq0Pe6pRpWY5gO0,181200,4
0.491,0.904,6,-4.324,1,0.0344,0.0985,0.0,0.183,0.588,150.007,audio_features,6VB64hpnpRNqukYsIX76uo,spotify:track:6VB64hpnpRNqukYsIX76uo,https://api.spotify.com/v1/tracks/6VB64hpnpRNqukYsIX76uo,https://api.spotify.com/v1/audio-analysis/6VB64hpnpRNqukYsIX76uo,211227,4
0.574,0.745,2,-6.663,1,0.0507,0.319,0.0,0.11,0.693,154.042,audio_features,2WKLUgklz0VDX5bKTZ3eYD,spotify:track:2WKLUgklz0VDX5bKTZ3eYD,https://api.spotify.com/v1/tracks/2WKLUgklz0VDX5bKTZ3eYD,https://api.spotify.com/v1/audio-analysis/2WKLUgklz0VDX5bKTZ3eYD,179078,4
0.589,0.641,5,-8.12,1,0.0838,0.205,0.0,0.0864,0.57,160.031,audio_features,5fSPbm5lcwtqwXkeQQswW8,spotify:track:5fSPbm5lcwtqwXkeQQswW8,https://api.spotify.com/v1/tracks/5fSPbm5lcwtqwXkeQQswW8,https://api.spotify.com/v1/audio-analysis/5fSPbm5lcwtqwXkeQQswW8,179347,4
0.538,0.664,1,-6.318,1,0.0392,0.193,0.0,0.0918,0.366,154.033,audio_features,3e8DeRFN3CPsaCJcsLkeS3,spotify:track:3e8DeRFN3CPsaCJcsLkeS3,https://api.spotify.com/v1/tracks/3e8DeRFN3CPsaCJcsLkeS3,https://api.spotify.com/v1/audio-analysis/3e8DeRFN3CPsaCJcsLkeS3,256747,4
0.663,0.53,1,-9.763,1,0.0301,0.0886,0.0,0.154,0.269,109.003,audio_features,4QAXLB2Hkx3n7LbOFxD34h,spotify:track:4QAXLB2Hkx3n7LbOFxD34h,https://api.spotify.com/v1/tracks/4QAXLB2Hkx3n7LbOFxD34h,https://api.spotify.com/v1/audio-analysis/4QAXLB2Hkx3n7LbOFxD34h,207347,4
